,condition,word_label,word_score_pc,img,delay_frames_before,gender,duration_measured_img,key_t,ID,delay_frames_after,word_score_warriner,offset_img,duration_measured_word,rt,word,session,correct_resp,duration_frames,offset_word,response,no,scan day,age,onset_word,onset_img
180,faceWord_exp,neg,2.6978270877422883,image_stim_n.png,134,male,0.7264349610777572,4.467381364898756,Jonaterminator,135,3.02,4.796956522972323,0.7020346559584141,0.4300434648561376,scream,4,0.0,42,1.7136708309408275,j,1,Tuesday,20,1.0116361749824136,4.070521561894567
181,faceWord_exp,neg,3.8030340674756413,image_stim_n.png,186,male,0.7031479680445045,11.200357682886533,Jonaterminator,98,2.76,11.580215803929606,0.6932761470088735,0.03708279503350709,flood,4,1.0,42,7.747969982912763,j,2,Tuesday,20,7.05469383590389,10.8770678358851
182,faceWord_exp,pos,-1.5082836116280287,image_stim_p.png,148,male,0.7021389500005171,16.88358913792763,Jonaterminator,110,6.17,17.113525642897002,0.6906811079243198,0.33331140597450276,kitchen,4,1.0,42,13.91350491088815,b,3,Tuesday,20,13.222823802963829,16.411386692896485
183,faceWord_exp,pos,-1.5215329943370883,image_stim_p.png,246,male,0.7039425499970093,24.26687181089073,Jonaterminator,91,6.52,24.480111194890924,0.6931627109879628,1.3279745193455452,bread,4,1.0,42,19.646776291891,b,4,Tuesday,20,18.95361358090304,23.776168644893914
184,faceWord_exp,pos,-1.2094761189992442,image_stim_p.png,88,male,0.7042873880127445,28.867200141889047,Jonaterminator,112,6.73,28.89642065996304,0.6924252089811489,0.21932284038874048,parent,4,1.0,42,26.69668936997186,b,5,Tuesday,20,26.004264160990715,28.192133271950297
185,faceWord_exp,pos,-1.1741643655496399,image_stim_p.png,91,male,0.7032402850454673,33.51621412299573,Jonaterminator,52,7.23,33.71332487999461,0.6917379810474813,0.0001611187390323358,bay,4,1.0,42,31.463998091989197,b,6,Tuesday,20,30.77226011094172,33.01008459494915
186,faceWord_exp,neg,3.997474019068489,image_stim_n.png,128,male,0.7031169109977782,37.99999634490814,Jonaterminator,70,2.55,38.14652689197101,0.6936271479353309,0.12130230352592808,accident,4,0.0,42,35.27984500490129,j,7,Tuesday,20,34.58621785696596,37.44340998097322
187,faceWord_exp,neu,-0.4066038871991289,image_stim_p.png,130,male,0.6894979189382866,42.6664787059417,Jonaterminator,262,5.79,42.896461266907856,0.6933033700333908,0.012926851528820562,baseball,4,1.0,42,40.0132210199954,b,8,Tuesday,20,39.31991764996201,42.20696334796958
188,faceWord_exp,neu,0.3545861367636661,image_stim_n.png,131,male,0.7049947769846767,50.683074507978745,Jonaterminator,193,5.09,50.8796989528928,0.6940507789840922,0.8924602604486176,put,4,0.0,42,47.96403775690123,j,9,Tuesday,20,47.269986977917135,50.17470417590812
189,faceWord_exp,pos,-1.6859102219357711,image_stim_p.png,67,male,0.6888034619623795,56.44923167990055,Jonaterminator,88,6.42,56.62977698689792,0.6942541220923886,0.6466912242374895,truce,4,1.0,42,54.796300695976235,b,10,Tuesday,20,54.10204657388386,55.94097352493554
190,faceWord_exp,pos,-2.303583541830637,image_stim_p.png,151,male,0.6895379290217534,61.78290416393429,Jonaterminator,164,6.68,62.02954026591033,0.6931879769545048,0.511496951319915,wonder,4,1.0,42,58.79632632795256,b,11,Tuesday,20,58.10313835099805,61.34000233688858
